uid,location,age,gender,reg_channel,reg_date,outcome
0,15,17,female,3,2014-10-21,1
1,13,40,female,9,2006-05-26,0
2,14,23,male,9,2007-03-25,1
3,1,19,female,3,2014-11-02,1
4,1,0,,9,2014-11-08,1
5,21,21,male,9,2007-10-12,1
6,1,0,,7,2014-04-16,1
7,5,0,,9,2013-02-06,1
8,13,18,female,9,2013-02-06,0
9,5,29,male,9,2013-02-12,1
10,15,23,male,3,2015-02-04,0
11,1,0,,9,2017-01-05,1
12,5,28,male,4,2017-01-11,1
13,15,21,female,3,2016-03-21,0
14,1,27,female,4,2016-07-19,1
15,1,0,,7,2016-10-21,0
16,13,32,male,9,2011-01-01,1
17,4,27,male,9,2007-05-12,1
18,12,35,male,9,2012-02-19,1
19,1,0,,7,2013-12-03,1
20,5,46,female,9,2012-09-29,0
21,22,20,female,9,2011-02-20,1
22,5,45,female,9,2006-08-06,0
23,15,24,female,9,2007-02-05,1
24,22,33,male,9,2009-04-08,0
25,11,27,male,9,2009-07-07,1
26,12,20,male,9,2009-11-07,0
27,1,0,,9,2014-05-27,0
28,1,0,,7,2016-12-02,0
29,1,0,,4,2016-12-04,1
30,1,0,,9,2017-01-14,0
31,1,0,,7,2017-01-20,0
32,1,0,,7,2017-01-28,1
33,11,30,male,3,2014-06-02,1
34,4,31,male,9,2017-01-01,0
35,6,20,female,4,2017-01-04,1
36,13,19,male,3,2013-07-24,0
37,15,36,male,9,2007-08-23,1
38,5,30,female,9,2007-09-14,0
39,22,29,male,9,2008-01-08,0
40,1,0,,7,2012-07-15,0
41,5,37,male,3,2012-11-26,0
42,1,0,,7,2011-08-15,0
43,5,40,male,9,2006-07-06,1
44,14,26,male,9,2007-07-11,0
45,1,18,male,4,2017-01-12,1
46,6,19,male,3,2017-01-16,1
47,1,25,female,7,2014-09-15,0
48,1,33,male,3,2014-09-24,1
49,15,45,male,7,2014-03-20,1
50,1,0,,4,2015-10-09,1
51,1,0,,9,2012-02-11,0
52,1,0,,7,2012-04-03,0
53,9,16,female,4,2016-11-06,1
54,5,26,male,4,2016-11-28,1
55,13,20,male,3,2016-12-31,1
56,18,26,female,9,2006-03-09,0
57,1,0,,4,2017-01-04,1
58,6,27,male,3,2013-01-24,0
59,5,32,male,3,2013-08-07,1
60,1,0,,7,2016-11-18,0
61,1,0,,9,2016-12-09,1
62,22,24,female,9,2007-03-16,1
63,13,32,female,9,2007-04-09,1
64,13,26,male,9,2012-12-22,1
65,1,0,,7,2013-03-15,0
66,13,34,female,3,2013-03-18,0
67,1,0,,7,2012-09-20,0
68,1,0,,4,2017-01-06,0
69,5,29,female,9,2007-08-09,0
70,18,24,male,9,2007-11-21,1
71,4,50,male,9,2009-08-24,0
72,1,0,,7,2016-12-29,0
73,5,34,female,9,2011-09-15,0
74,15,23,male,9,2014-11-06,0
75,1,0,,7,2016-11-17,0
76,15,24,male,9,2011-08-12,1
77,5,32,female,9,2009-05-07,1
78,6,24,female,9,2009-08-06,0
79,11,23,male,3,2014-11-16,1
80,1,0,,7,2015-11-16,0
81,1,0,,7,2010-11-15,0
82,5,33,male,3,2013-10-09,0
83,1,0,,9,2016-07-23,1
84,1,0,,7,2016-11-27,0
85,6,0,,9,2016-12-17,1
86,1,0,,7,2012-02-19,0
87,8,21,male,3,2012-05-08,1
88,13,18,male,3,2012-05-13,1
89,1,0,,7,2013-02-28,0
90,14,29,female,9,2013-03-04,0
91,17,19,female,3,2013-03-21,1
92,10,30,female,9,2008-08-01,1
93,15,26,female,9,2009-01-01,1
94,1,0,,7,2011-05-06,1
95,13,45,female,9,2014-05-09,0
96,15,0,,3,2014-05-25,1
97,1,0,,7,2016-12-31,0
98,5,43,male,7,2017-01-14,0
99,1,0,,7,2011-11-07,0
100,15,28,male,9,2016-09-25,0
101,22,35,female,9,2006-02-17,0
102,1,0,,7,2014-05-05,0
103,1,0,,7,2011-02-25,0
104,14,37,male,9,2005-12-07,0
105,13,30,female,9,2007-04-23,1
106,8,22,male,9,2007-06-09,0
107,4,39,female,9,2015-06-06,1
108,9,31,female,9,2006-07-09,0
109,4,45,female,9,2007-02-24,0
110,4,20,female,3,2014-02-11,1
111,1,0,,7,2014-03-08,1
112,1,0,,7,2014-03-15,0
113,1,0,,7,2012-03-06,0
114,13,22,female,7,2012-04-30,0
115,22,27,male,9,2014-10-26,1
116,4,23,male,9,2011-02-11,0
117,1,0,,7,2011-03-02,0
118,22,39,female,9,2007-06-10,1
119,13,20,female,3,2014-01-31,1
120,13,33,male,9,2006-09-05,0
121,4,25,male,3,2013-03-19,0
122,1,0,,7,2013-03-27,1
123,4,24,female,9,2013-06-05,1
124,14,31,male,7,2011-05-18,0
125,6,38,female,9,2011-06-08,1
126,6,0,,3,2013-02-07,0
127,1,0,,7,2015-07-17,0
128,13,28,female,9,2015-08-01,1
129,1,0,,7,2015-08-11,0
130,13,23,female,9,2005-10-23,0
131,1,19,male,3,2016-11-07,1
132,13,16,male,3,2016-11-14,1
133,1,0,,7,2015-10-13,1
134,14,16,female,3,2013-10-08,1
135,1,47,male,3,2016-12-31,1
136,1,0,,13,2017-01-12,1
137,6,25,male,4,2017-01-15,1
138,1,0,,4,2016-12-10,1
139,5,27,male,3,2015-07-14,1
140,1,18,male,3,2014-08-08,1
141,13,35,male,9,2014-04-19,1
142,4,34,female,9,2009-07-10,1
143,1,0,,7,2013-09-12,1
144,4,31,male,9,2008-03-04,1
145,7,27,female,9,2007-02-03,1
146,1,0,,3,2012-12-04,0
147,18,40,female,9,2013-03-22,0
148,13,24,female,9,2005-08-13,0
149,13,20,male,3,2013-07-22,1
150,4,30,female,7,2015-03-25,0
151,8,18,male,3,2013-07-29,1
152,1,0,,7,2013-11-13,0
153,13,27,female,3,2013-11-22,0
154,13,24,female,3,2012-01-29,1
155,13,38,male,7,2012-03-12,0
156,1,0,,7,2012-03-29,0
157,4,33,female,3,2012-06-02,1
158,1,0,,7,2016-09-05,1
159,1,0,,7,2016-01-14,0
160,4,27,male,9,2010-09-19,0
161,13,46,male,9,2005-05-23,0
162,15,41,female,9,2005-06-22,0
163,1,0,,7,2013-08-17,0
164,1,0,,7,2014-06-19,0
165,22,43,female,9,2014-07-11,1
166,1,0,,7,2010-12-19,0
167,5,21,male,9,2010-12-20,0
168,1,0,,7,2016-12-21,0
169,1,0,,7,2011-09-04,0
170,4,39,female,7,2011-07-22,0
171,15,32,female,9,2006-05-05,0
172,5,30,male,9,2009-05-10,0
173,1,0,,7,2014-05-10,1
174,1,0,,9,2014-06-18,1
175,13,49,male,9,2013-10-10,1
176,1,0,,7,2012-11-07,0
177,15,22,female,3,2012-12-03,1
178,6,32,male,9,2013-11-16,0
179,17,20,male,7,2016-08-05,0
180,1,0,,7,2013-08-08,0
181,6,36,female,3,2012-09-24,1
182,6,36,female,9,2006-02-25,0
183,1,0,,7,2011-10-30,1
184,5,94,female,3,2014-11-20,1
185,10,50,male,9,2005-10-26,0
186,1,0,,7,2017-01-22,0
187,1,30,female,4,2016-12-24,1
188,1,0,,9,2015-08-29,0
189,1,0,,7,2015-08-30,0
190,1,0,,7,2015-09-06,0
191,1,0,,7,2012-02-01,1
192,1,0,,7,2011-07-19,1
193,1,0,,7,2011-07-31,0
194,13,38,female,9,2006-11-28,1
195,5,47,male,9,2007-05-11,0
196,13,26,male,9,2012-11-24,0
197,1,0,,4,2016-07-19,0
198,13,17,female,3,2013-11-24,1
199,1,0,,7,2013-11-29,1
200,1,0,,7,2013-12-08,0
201,4,21,female,9,2009-08-31,0
202,11,25,female,3,2013-11-04,0
203,1,0,,9,2013-12-11,1
204,15,20,male,3,2015-05-26,0
205,13,26,male,9,2010-07-07,0
206,11,33,male,3,2013-11-19,1
207,13,0,,9,2013-07-18,0
208,22,25,male,9,2007-06-24,1
209,15,28,male,9,2008-10-21,0
210,5,37,male,9,2006-06-29,0
